#Frame	1
X	-9
Y	0
X	-9
C	125
X	-9
Y	-16
X	-18
a	8482
X	9
Y	-8
X	0
m	8462
X	-9
Y	0
X	0
3	8482
X	0
Y	-16
X	-9
4	0
X	9
Y	-16
X	-9
F	0
X	-18
Y	-8
X	-9
b	8502
X	-9
Y	-8
X	-9
T	7723
X	-9
Y	-8
X	-27
P	23756
X	9
Y	-8
X	0
V	0
p	3739
t	0
v	-14
t	0
#Frame	2
X	-9
Y	-8
X	0
C	250
X	-9
Y	0
X	9
a	8482
X	9
Y	0
X	-9
m	8462
X	0
Y	-8
X	9
3	8482
X	-9
Y	-8
X	9
4	0
X	-18
Y	-8
X	9
F	0
X	0
Y	-8
X	0
b	8522
X	0
Y	0
X	0
T	7723
X	0
Y	0
X	0
P	23756
X	0
Y	0
X	9
V	0
p	3739
t	0
v	-14
t	0
#Frame	3
X	0
Y	-8
X	0
C	250
X	27
Y	0
X	-18
a	8482
X	27
Y	-25
X	9
m	8462
X	9
Y	-16
X	-9
3	8482
X	-9
Y	-8
X	36
4	0
X	36
Y	42
X	36
F	0
X	73
Y	92
X	73
b	8522
X	91
Y	-16
X	118
T	7723
X	118
Y	-42
X	146
P	23756
X	155
Y	8
X	164
V	0
p	3739
t	0
v	-14
t	0
#Frame	4
X	209
Y	-8
X	191
C	250
X	264
Y	-16
X	310
a	8482
X	328
Y	8
X	319
m	8462
X	328
Y	-8
X	337
3	8482
X	392
Y	16
X	401
4	0
X	410
Y	-16
X	401
F	0
X	392
Y	-8
X	401
b	8522
X	410
Y	-8
X	410
T	7723
X	410
Y	-16
X	401
P	23757
X	410
Y	-8
X	410
V	0
p	3739
t	0
v	-14
t	0
#Frame	5
X	410
Y	42
X	401
C	125
X	392
Y	-8
X	410
a	8482
X	419
Y	-8
X	429
m	8462
X	401
Y	-25
X	410
3	8482
X	419
Y	-25
X	410
4	0
X	410
Y	-25
X	410
F	0
X	410
Y	-8
X	419
b	8522
X	419
Y	0
X	419
T	7723
X	410
Y	-8
X	438
P	23756
X	429
Y	-25
X	419
V	50
p	0
t	0
v	-15
t	0
#Frame	7
X	410
Y	-16
X	438
C	187
X	410
Y	25
X	410
a	8421
X	410
Y	25
X	429
m	8401
X	410
Y	-16
X	410
3	8421
X	410
Y	-25
X	447
4	0
X	410
Y	42
X	438
F	-11020
X	419
Y	-8
X	419
b	8462
X	438
Y	-16
X	429
T	7726
X	438
Y	-25
X	429
P	23754
X	429
Y	-8
X	438
V	132
p	0
t	0
v	-15
t	0
#Frame	8
X	419
Y	8
X	419
C	250
X	429
Y	8
X	438
a	8421
X	438
Y	-8
X	410
m	8401
X	410
Y	16
X	438
3	8401
X	438
Y	8
X	438
4	0
X	429
Y	16
X	410
F	-11020
X	447
Y	8
X	429
b	8482
X	419
Y	33
X	438
T	7723
X	438
Y	8
X	410
P	23753
X	456
Y	8
X	419
V	188
p	0
t	0
v	-14
t	0
#Frame	9
X	438
Y	-42
X	447
C	125
X	410
Y	8
X	438
a	8401
X	419
Y	0
X	429
m	8401
X	438
Y	-16
X	438
3	8421
X	438
Y	25
X	447
4	0
X	456
Y	0
X	410
F	-11044
X	429
Y	0
X	429
b	8442
X	410
Y	-16
X	429
T	7723
X	429
Y	-8
X	447
P	23751
X	410
Y	8
X	429
V	266
p	0
t	0
v	-16
t	0
#Frame	10
X	419
Y	25
X	419
C	125
X	419
Y	25
X	438
a	8421
X	410
Y	16
X	419
m	8401
X	410
Y	16
X	410
3	8421
X	429
Y	25
X	438
4	0
X	410
Y	-25
X	410
F	-11044
X	438
Y	0
X	410
b	8462
X	438
Y	-8
X	447
T	7726
X	447
