#Component=Raven
#Style=4-Output
#DateTime=21.06.2018 22:06:41
#FlightNum=1
#FlightState=#1	O	120	4318	9	2	0	0	30411	29391	30411	32331	19536	16500	16466	16478	24696	24148	20032	16492	16976	16450	16450	16450	16450	0	9622	1050	0	8760	523
#ConvertedFromBinary
#R 3.0
#D Apr 29 2012 14:28:55
#Axis	2
#Num	25
#den	20
#Frame	1
X	-9
Y	-17
X	-9
C	0
X	-9
Y	-17
X	0
a	8844
X	-9
Y	-17
X	0
m	8964
X	-9
Y	-17
X	-19
3	8964
X	-19
Y	-8
X	-9
4	-20
X	-9
Y	-17
X	-9
F	0
X	-9
Y	-8
X	-9
b	8924
X	-9
Y	-17
X	-9
T	10553
X	9
Y	-17
X	-9
P	21337
X	9
Y	-8
X	0
V	0
p	2029
t	0
v	-15
t	0
#Frame	2
X	-9
Y	-17
X	-9
C	0
X	9
Y	-17
X	0
a	8844
X	-9
Y	-17
X	0
m	8964
X	-9
Y	-26
X	9
3	8964
X	0
Y	-17
X	-19
4	-20
X	9
Y	-8
X	-9
F	0
X	-9
Y	-17
X	-9
b	8924
X	0
Y	-17
X	-9
T	10553
X	-9
Y	-17
X	0
P	21338
X	0
Y	-8
X	-19
V	0
p	2029
t	0
v	-15
t	0
#Frame	3
X	-9
Y	-17
X	-9
C	0
X	-19
Y	-26
X	-9
a	8844
X	0
Y	-8
X	-9
m	8964
X	0
Y	-8
X	-9
3	8964
X	9
Y	-8
X	9
4	-20
X	0
Y	-8
X	-9
F	0
X	-9
Y	-8
X	0
b	8924
X	-9
Y	-17
X	9
T	10553
X	9
Y	-8
X	-9
P	21338
X	9
Y	-17
X	9
V	0
p	2029
t	0
v	-15
t	0
#Frame	4
X	9
Y	-26
X	-9
C	0
X	-9
Y	-26
X	0
a	8823
X	28
Y	-17
X	0
m	8964
X	-9
Y	-17
X	-19
3	8964
X	28
Y	-8
X	28
4	-20
X	346
Y	-17
X	538
F	0
X	1019
Y	-113
X	1039
b	8924
X	981
Y	-61
X	1058
T	10553
X	942
Y	-87
X	962
P	21337
X	933
Y	-78
X	923
V	0
p	2029
t	0
v	-15
t	0
#Frame	5
X	914
Y	-78
X	865
C	0
X	846
Y	-70
X	865
a	8844
X	875
Y	-52
X	875
m	8964
X	875
Y	-78
X	875
3	8964
X	817
Y	-52
X	865
4	-20
X	885
Y	-26
X	856
F	0
X	894
Y	-78
X	865
b	8924
X	798
Y	-43
X	837
T	10553
X	885
Y	-43
X	856
P	21337
X	914
Y	-52
X	885
V	70
p	0
t	0
v	-15
t	0
O	120	4318	9	2	0	0	30411	29391	30411	32331	19536	16500	16466	16478	24696	24148	20032	16492	16976	16450	16450	16450	16450	0	9622	1050	0	8760	523
#Frame	7
X	914
Y	-61
X	923
C	0
X	942
Y	-61
X	933
a	8803
X	837
Y	26
X	856
m	8924
X	962
Y	-43
X	904
3	8924
X	914
Y	-61
X	894
4	-20
X	904
Y	-17
X	894
F	-11020
X	875
Y	-35
X	885
b	8884
X	885
Y	-52
X	865
T	10553
X	856
Y	-35
X	846
P	21336
X	865
Y	-43
X	894
V	240
p	0
t	0
v	-15
t	0
#Frame	8
X	875
Y	-26
X	865
C	0
X	846
Y	-61
X	846
a	8803
X	846
Y	-78
X	856
m	8924
X	865
Y	-26
X	846
3	8924
X	837
Y	-8
X	846
4	-20
X	837
Y	-26
X	837
F	-11020
X	846
Y	-61
X	827
b	8884
X	837
Y	-61
X	827
T	10553
X	846
Y	8
X	817
P	21336
X	827
Y	-43
X	846
V	355
p	0
t	0
v	-13
t	0
#Frame	9
X	798
Y	-78
X	808
C	0
X	798
Y	-52
X	789
a	8803
X	808
Y	-35
X	817
m	8924
X	817
Y	-35
X	817
3	8924
X	846
Y	-113
X	817
4	-20
X	808
Y	-96
X	817
F	-11044
X	808
Y	52
X	837
b	8884
X	817
Y	-43
X	827
T	10553
X	817
Y	8
X	827
P	21337
X	827
Y	-26
X	827
V	504
p	0
t	0
v	-16
t	0
#Frame	10
X	808
Y	-61
X	817
C	0
X	837
Y	0
X	817
a	8803
X	808
Y	-166
X	846
m	8924
X	827
Y	8
X	846
3	8924
X	808
Y	-96
X	798
4	-20
X	817
Y	-87
X	817
F	-11044
