Time@Axial Accel (Gs),Axial Accel (Gs)
0,1.11
0.0025,1.11
0.005,1.11
0.0075,1.2
0.01,1.11
0.0125,1.2
0.015,1.11
0.0175,1.01
0.02,1.01
0.0225,1.11
0.025,1.11
0.0275,1.11
0.03,1.11
0.0325,1.11
0.035,1.11
0.0375,1.11
0.04,1.29
0.0425,1.11
0.045,1.29
0.0475,1.2
0.05,1.11
0.0525,1.11
0.055,1.29
0.0575,1.2
0.06,1.11
0.0625,1.2
0.065,1.11
0.0675,1.29
0.07,1.2
0.0725,1.01
0.075,1.29
0.0775,1.11
0.08,1.11
0.0825,1.11
0.085,1.2
0.0875,1.11
0.09,1.11
0.0925,1.2
0.095,1.2
0.0975,1.01
0.1,1.11
0.1025,1.11
0.105,1.01
0.1075,1.11
0.11,1.2
0.1125,1.11
0.115,1.2
0.1175,1.11
0.12,1.29
0.1225,1.29
0.125,1.2
0.1275,1.11
0.13,1.11
0.1325,1.2
0.135,1.11
0.1375,1.29
0.14,1.29
0.1425,1.11
0.145,1.29
0.1475,1.29
0.15,1.29
0.1525,1.11
0.155,1.11
0.1575,1.2
0.16,1.48
0.1625,1.2
0.165,1.11
0.1675,1.01
0.17,1.48
0.1725,1.48
0.175,4.66
0.1775,6.58
0.18,11.39
0.1825,11.59
0.185,11.01
0.1875,11.78
0.19,10.62
0.1925,10.82
0.195,10.53
0.1975,10.43
0.2,10.34
0.2025,9.85
0.205,9.66
0.2075,9.85
0.21,9.95
0.2125,9.95
0.215,9.95
0.2175,9.95
0.22,9.37
0.2225,9.85
0.225,10.05
0.2275,9.76
0.23,10.14
0.2325,9.85
0.235,9.18
0.2375,9.57
0.24,10.05
0.2425,9.76
0.245,10.34
0.2475,10.05
0.25125,10.34
0.25375,10.43
0.25625,10.62
0.25875,10.53
0.26125,9.57
0.26375,9.76
0.26625,10.82
0.26875,10.24
0.27125,10.34
0.27375,10.14
0.27625,10.24
0.27875,10.14
0.28125,9.95
0.28375,10.05
0.28625,10.05
0.28875,9.85
0.29125,9.76
0.29375,9.66
0.29625,9.85
0.29875,10.14
0.30125,9.95
0.30375,9.85
0.30625,9.66
0.30875,9.66
0.31125,9.66
0.31375,9.76
0.31625,9.85
0.31875,9.66
0.32125,9.57
0.32375,9.66
0.32625,9.57
0.32875,9.57
0.33125,9.66
0.33375,9.47
0.33625,9.57
0.33875,9.47
0.34125,9.66
0.34375,9.37
0.34625,9.47
0.34875,9.66
0.35125,9.18
0.35375,9.28
0.35625,9.18
0.35875,9.09
0.36125,9.28
0.36375,9.37
0.36625,9.37
0.36875,9.37
0.37125,9.66
0.37375,9.37
0.37625,9.28
0.37875,9.37
0.38125,9.28
0.38375,9.57
0.38625,9.37
0.38875,9.47
0.39125,9.37
0.39375,9.47
0.39625,9.47
0.39875,9.47
0.40125,9.28
0.40375,9.37
0.40625,9.57
0.40875,9.37
0.41125,9.28
0.41375,9.66
0.41625,9.47
0.41875,9.66
0.42125,9.28
0.42375,9.18
0.42625,9.37
0.42875,9.37
0.43125,9.28
0.43375,9.57
0.43625,9.37
0.43875,9.28
0.44125,9.28
0.44375,8.99
0.44625,9.47
0.44875,9.47
0.45125,9.66
0.45375,9.09
0.45625,9.18
0.45875,9.47
0.46125,9.57
0.46375,9.57
0.46625,9.47
0.46875,9.57
0.47125,9.76
0.47375,9.37
0.47625,9.37
0.47875,9.76
0.48125,9.37
0.48375,9.66
0.48625,9.66
0.48875,9.57
0.49125,9.28
0.49375,9.57
0.49625,9.66
0.49875,9.47
0.50125,9.37
0.50375,9.76
0.50625,9.47
0.50875,9.66
0.51125,9.47
0.51375,9.28
0.51625,9.18
0.51875,9.18
0.52125,9.09
0.52375,9.37
0.52625,9.57
0.52875,9.66
0.53125,9.37
0.53375,9.37
0.53625,9.66
0.53875,9.37
0.54125,9.37
0.54375,9.47
0.54625,9.37
0.54875,9.09
0.55125,9.28
0.55375,8.99
0.55625,9.28
0.55875,9.28
