Time@[Altitude (Baro-Ft-AGL)],[Altitude (Baro-Ft-AGL)]
0.04375,0.745117
0.09375,-0.520508
0.14375,-0.520508
0.19375,0.745117
0.24375,0.745117
0.295,2.00195
0.345,2.00195
0.395,0.745117
0.445,2.00195
0.495,3.25928
0.545,5.77295
0.595,7.03027
0.645,9.55273
0.695,10.8096
0.745,13.3325
0.795,17.1035
0.845,20.8833
0.895,24.6626
0.945,28.4336
0.995,32.2134
1.045,37.25
1.095,43.5522
1.145,48.5977
1.195,53.6343
1.245,59.9365
1.295,66.2393
1.345,71.2842
1.395,78.8525
1.445,86.4204
1.495,93.9971
1.545,102.831
1.595,111.664
1.645,120.507
1.695,131.872
1.745,141.979
1.795,152.096
1.845,162.204
1.895,173.595
1.945,183.712
1.995,195.103
2.045,205.228
2.095,216.628
2.145,226.762
2.195,238.17
2.245,250.844
2.295,263.527
2.345,276.209
2.395,290.175
2.445,304.141
2.495,319.381
2.545,333.364
2.595,348.621
2.645,365.153
2.695,381.702
2.745,398.251
2.795,416.083
2.845,432.658
2.895,450.507
2.945,468.374
2.995,486.249
3.045,502.85
3.095,520.743
3.145,537.361
3.195,555.271
3.245,574.473
3.295,592.409
3.345,611.628
3.395,630.865
3.445,651.393
3.495,671.929
3.545,693.766
3.595,715.621
3.645,737.484
3.695,759.373
3.745,781.262
3.795,804.469
3.845,826.393
3.895,849.625
3.945,871.583
3.995,896.134
4.045,922.011
4.095,949.188
4.145,976.4
4.195,1003.63
4.245,1030.88
4.295,1058.16
4.345,1085.46
4.395,1114.07
4.445,1142.72
4.495,1174
4.545,1202.69
4.595,1232.72
4.645,1261.48
4.695,1292.87
4.745,1324.29
4.795,1357.05
4.845,1387.22
4.895,1418.73
4.945,1448.96
4.995,1483.17
5.045,1516.09
5.095,1550.36
5.145,1584.67
5.195,1620.35
5.245,1656.05
5.295,1693.12
5.345,1726.25
5.395,1756.77
5.445,1785.98
5.495,1811.24
5.545,1831.18
5.595,1844.48
5.645,1829.85
5.695,1792.62
5.745,1740.84
5.795,1568.84
5.845,2258.32
5.895,1510.82
5.945,630.865
5.995,1576.76
6.045,2509.98
6.095,2153.36
6.145,1316.43
6.195,592.409
6.245,946.604
6.295,1489.75
6.345,966.032
6.395,439.029
6.445,679.636
6.495,1534.54
6.545,1119.28
6.595,674.495
6.645,1052.96
6.695,1669.28
6.745,1268.01
6.795,857.375
6.845,1526.63
6.895,1726.25
6.945,1345.25
6.995,1012.71
7.045,1924.44
7.095,1774.03
7.145,1418.73
7.195,1570.15
7.245,2463.83
7.295,2072.86
7.345,1699.75
7.395,2476.04
7.445,2402.86
7.495,2027.32
7.545,1967.15
7.595,2603.83
7.645,2302.83
7.695,2027.32
7.745,2801.95
7.795,2584.77
7.845,2275.85
7.895,2869.17
7.945,3020.59
7.995,2672.01
8.045,2590.21
8.095,3226.82
8.145,2943.42
8.195,2670.65
8.245,3331.13
8.295,3165.78
8.345,2882.91
8.395,3258.78
8.445,3554.79
8.495,3239.32
8.545,3006.8
8.595,3692.54
8.645,3469.34
8.695,3214.33
8.745,3695.36
8.795,3640.46
8.845,3393.88
8.895,3619.37
8.945,4087.98
8.995,3785.65
9.045,3558.99
9.095,4155.08
9.145,3964.15
9.195,3722.14
9.245,4157.93
9.295,4107.95
9.345,3876.19
9.395,4147.92
9.445,4426.3
9.495,4163.65
9.545,3991.15
9.595,4517.22
9.645,4305.47
9.695,4113.66
9.745,4577.97
9.795,4429.18
9.845,4233.76
9.895,4637.4
9.945,4659.17
9.995,4445.03
10.045,4660.61
10.095,4774.05
10.145,4572.18
10.195,4650.45
10.245,5024.15
10.295,4798.82
10.345,4657.71
10.395,5057.94
10.445,4877.65
10.495,4746.38
10.545,5144.77
10.595,4981.59
10.645,4842.59
10.695,5231.84
10.745,5099.11
10.795,4971.33
10.845,5325.09
10.895,5177.21
10.945,5049.11
10.995,5387.4
11.045,5252.54
11.095,5189.02
11.145,5494.5
11.195,5341.39
11.245,5333.98
11.295,5488.54
11.345,5362.17
11.395,5549.68
11.445,5578.06
11.495,5455.79
11.545,5672.31
11.595,5587.02
11.645,5530.28
11.695,5697.8
11.745,5607.95
11.795,5741.32
11.845,5753.33
11.895,5696.3
11.945,5839.08
11.995,5772.86
12.045,5819.5
12.095,5842.09
12.145,5833.05
12.195,5873.74
12.245,5906.93
12.295,5935.62
12.345,5962.84
12.395,5988.55
12.445,6015.8
12.495,6041.56
12.545,6064.31
12.595,6088.59
12.645,6111.37
12.695,6135.69
12.745,6158.5
12.795,6182.85
12.845,6208.76
12.895,6231.63
12.945,6254.5
12.995,6278.93
13.045,6301.85
13.095,6324.79
13.145,6349.27
13.195,6373.77
13.245,6395.22
13.295,6418.22
13.345,6441.24
13.395,6461.2
13.445,6481.19
13.495,6505.79
13.545,6525.79
13.595,6547.35
13.645,6570.46
13.695,6592.04
13.745,6612.1
13.795,6632.17
13.845,6653.81
13.895,6675.45
13.945,6695.56
13.995,6715.69
14.045,6735.83
14.095,6755.97
14.145,6776.14
14.195,6796.32
14.245,6814.95
14.295,6835.16
14.345,6853.81
14.395,6872.48
14.445,6891.16
14.495,6908.3
14.545,6928.56
14.595,6945.71
14.645,6964.44
14.695,6983.17
14.745,7000.35
14.795,7019.11
14.845,7037.88
14.895,7055.09
14.945,7072.31
14.995,7089.55
15.045,7105.22
15.095,7124.04
15.145,7141.3
15.195,7160.14
15.245,7177.42
15.295,7194.71
15.345,7212.01
15.395,7227.75
15.445,7243.49
15.495,7260.82
15.545,7275
15.595,7290.76
15.645,7306.54
15.695,7322.33
15.745,7338.11
15.795,7355.49
15.845,7371.3
15.895,7387.12
15.945,7401.35
15.995,7417.18
16.045,7433.02
16.095,7447.29
16.145,7461.55
16.195,7475.83
16.245,7490.1
16.295,7502.8
16.345,7518.69
16.395,7534.58
16.445,7548.88
16.495,7561.61
16.545,7575.93
16.595,7588.66
16.645,7602.99
16.695,7615.73
16.745,7628.49
16.795,7642.83
