# Simulation 3 (Up to date)
# 1006 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,-8.7231,NaN,0.0060007
0.01,0,-2.6385,NaN,0.0060912
0.02,0,6.0988,NaN,0.0061817
0.03,3.0497e-4,12.926,NaN,0.0062747
0.04,0.0015613,20.367,NaN,0.0063871
0.05,0.0044826,28.681,NaN,0.006556
0.06,0.0098566,35.778,NaN,0.006714
0.07,0.018454,41.122,NaN,0.0070588
0.08,0.030898,44.721,NaN,0.0076227
0.09,0.047635,46.578,NaN,0.008395
0.1,0.068938,47.527,NaN,0.0093306
0.11,0.094948,48.46,NaN,0.010392
0.12,0.12576,49.395,NaN,0.011549
0.13,0.16146,50.33,NaN,0.012785
0.14,0.20216,51.265,NaN,0.014086
0.15,0.24793,52.201,NaN,0.015445
0.16,0.29888,53.137,NaN,0.016872
0.17,0.3551,54.074,NaN,0.018343
0.18,0.41668,55.012,NaN,0.019853
0.19,0.48371,55.95,NaN,0.021402
0.2,0.5563,56.424,NaN,0.022986
0.21,0.63451,56.434,NaN,0.024589
0.22,0.71836,56.445,NaN,0.026199
0.23,0.80785,56.456,NaN,0.027814
0.24,0.903,56.468,NaN,0.029435
0.25,1.0038,56.479,NaN,0.031061
0.26,1.1102,56.49,NaN,0.032679
0.27,1.2223,56.501,NaN,0.034302
0.28,1.3401,56.511,NaN,0.035929
0.29,1.4635,56.522,NaN,0.037559
0.3,1.5925,56.603,NaN,0.039192
0.31,1.7272,56.756,NaN,0.04084
0.32,1.8676,56.908,NaN,0.042493
0.33,2.0137,57.06,NaN,0.044152
0.34,2.1654,57.212,NaN,0.045817
0.35,2.3229,57.364,NaN,0.047486
0.36,2.4861,57.517,NaN,0.049165
0.37,2.6551,57.669,NaN,0.050848
0.38,2.8298,57.821,NaN,0.052537
0.39,3.0103,57.973,NaN,0.05423
0.4,3.1965,58.108,NaN,0.055928
0.41,3.3886,58.228,NaN,0.057629
0.42,3.5865,58.347,NaN,0.059334
0.43,3.7903,58.467,NaN,0.061042
0.44,3.9999,58.586,NaN,0.062754
0.45,4.2153,58.705,NaN,0.064471
0.46,4.4366,58.825,NaN,0.06619
0.47,4.6638,58.944,NaN,0.067913
0.48,4.8968,59.063,NaN,0.069639
0.49,5.1358,59.182,0.96019,0.07137
0.505,5.5054,59.652,0.98497,0.07397
0.5275,6.0848,60.521,1.028,0.0779
0.56125,7.0113,61.827,1.0871,0.083894
0.61125,8.5126,61.978,1.1605,0.092984
0.66125,10.169,61.246,1.2195,0.10209
0.71125,11.98,61.348,1.2771,0.11108
0.76125,13.944,61.819,1.3448,0.12009
0.81125,16.063,62.224,1.4077,0.12917
0.86125,18.336,62.605,1.4653,0.13831
0.91125,20.766,63.133,1.5153,0.14752
0.96125,23.354,63.714,1.5455,0.15681
1.0113,26.1,63.98,1.5848,0.16619
1.0613,29.006,64.104,1.627,0.17561
1.1113,32.073,64.228,1.6689,0.18505
